home,parent_node,name,value
Blekinge län,high,Blekinge län,"0,13"
Blekinge län,high,Skåne län,"0,39"
Blekinge län,high,Västra Götalands län,"0,14"
Blekinge län,high,Östergötlands län,"0,08"
Blekinge län,high,Stockholms län,"0,06"
Blekinge län,high,Kronobergs län,"0,06"
Dalarnas län,high,Dalarnas län,"0,16"
Dalarnas län,high,Uppsala län,"0,27"
Dalarnas län,high,Stockholms län,"0,13"
Dalarnas län,high,Östergötlands län,"0,12"
Dalarnas län,high,Västra Götalands län,"0,1"
Dalarnas län,high,Skåne län,"0,05"
Gotlands län,high,Gotlands län,"0,17"
Gotlands län,high,Uppsala län,"0,26"
Gotlands län,high,Stockholms län,"0,16"
Gotlands län,high,Östergötlands län,"0,13"
Gotlands län,high,Västra Götalands län,"0,08"
Gotlands län,high,Skåne län,"0,06"
Gävleborgs län,high,Gävleborgs län,"0,13"
Gävleborgs län,high,Uppsala län,"0,32"
Gävleborgs län,high,Stockholms län,"0,16"
Gävleborgs län,high,Östergötlands län,"0,13"
Gävleborgs län,high,Västra Götalands län,"0,07"
Gävleborgs län,high,Västerbottens län,"0,07"
Hallands län,high,Hallands län,"0,11"
Hallands län,high,Västra Götalands län,"0,44"
Hallands län,high,Skåne län,"0,25"
Hallands län,high,Stockholms län,"0,06"
Hallands län,high,Östergötlands län,"0,06"
Hallands län,high,Uppsala län,"0,03"
Jämtlands län,high,Jämtlands län,"0,16"
Jämtlands län,high,Uppsala län,"0,23"
Jämtlands län,high,Stockholms län,"0,17"
Jämtlands län,high,Västerbottens län,"0,13"
Jämtlands län,high,Västra Götalands län,"0,11"
Jämtlands län,high,Östergötlands län,"0,08"
Jönköpings län,high,Jönköpings län,"0,16"
Jönköpings län,high,Västra Götalands län,"0,27"
Jönköpings län,high,Östergötlands län,"0,17"
Jönköpings län,high,Skåne län,"0,16"
Jönköpings län,high,Stockholms län,"0,08"
Jönköpings län,high,Uppsala län,"0,08"
Kalmar län,high,Kalmar län,"0,15"
Kalmar län,high,Skåne län,"0,22"
Kalmar län,high,Östergötlands län,"0,2"
Kalmar län,high,Västra Götalands län,"0,13"
Kalmar län,high,Stockholms län,"0,09"
Kalmar län,high,Uppsala län,"0,07"
Kronobergs län,high,Kronobergs län,"0,26"
Kronobergs län,high,Skåne län,"0,31"
Kronobergs län,high,Västra Götalands län,"0,14"
Kronobergs län,high,Östergötlands län,"0,11"
Kronobergs län,high,Uppsala län,"0,06"
Kronobergs län,high,Stockholms län,"0,05"
Norrbottens län,high,Norrbottens län,"0,24"
Norrbottens län,high,Västerbottens län,"0,28"
Norrbottens län,high,Uppsala län,"0,15"
Norrbottens län,high,Östergötlands län,"0,09"
Norrbottens län,high,Stockholms län,"0,08"
Norrbottens län,high,Västra Götalands län,"0,07"
Skåne län,high,Skåne län,"0,79"
Skåne län,high,Västra Götalands län,"0,06"
Skåne län,high,Stockholms län,"0,04"
Skåne län,high,Östergötlands län,"0,03"
Skåne län,high,Uppsala län,"0,03"
Skåne län,high,Kronobergs län,"0,01"
Stockholms län,high,Stockholms län,"0,72"
Stockholms län,high,Uppsala län,"0,09"
Stockholms län,high,Östergötlands län,"0,06"
Stockholms län,high,Skåne län,"0,06"
Stockholms län,high,Västra Götalands län,"0,02"
Stockholms län,high,Västerbottens län,"0,01"
Södermanlands län,high,Södermanlands län,"0,08"
Södermanlands län,high,Uppsala län,"0,28"
Södermanlands län,high,Östergötlands län,"0,19"
Södermanlands län,high,Stockholms län,"0,16"
Södermanlands län,high,Västra Götalands län,"0,08"
Södermanlands län,high,Skåne län,"0,05"
Uppsala län,high,Uppsala län,"0,67"
Uppsala län,high,Stockholms län,"0,13"
Uppsala län,high,Östergötlands län,"0,05"
Uppsala län,high,Västra Götalands län,"0,04"
Uppsala län,high,Skåne län,"0,04"
Uppsala län,high,Västerbottens län,"0,01"
Värmlands län,high,Värmlands län,"0,29"
Värmlands län,high,Västra Götalands län,"0,24"
Värmlands län,high,Stockholms län,"0,11"
Värmlands län,high,Östergötlands län,"0,1"
Värmlands län,high,Uppsala län,"0,09"
Värmlands län,high,Skåne län,"0,08"
Västerbottens län,high,Västerbottens län,"0,61"
Västerbottens län,high,Uppsala län,"0,08"
Västerbottens län,high,Västra Götalands län,"0,06"
Västerbottens län,high,Norrbottens län,"0,06"
Västerbottens län,high,Stockholms län,"0,06"
Västerbottens län,high,Östergötlands län,"0,05"
Västernorrlands län,high,Västernorrlands län,"0,12"
Västernorrlands län,high,Västerbottens län,"0,24"
Västernorrlands län,high,Uppsala län,"0,15"
Västernorrlands län,high,Östergötlands län,"0,12"
Västernorrlands län,high,Stockholms län,"0,11"
Västernorrlands län,high,Västra Götalands län,"0,09"
Västmanlands län,high,Västmanlands län,"0,14"
Västmanlands län,high,Uppsala län,"0,25"
Västmanlands län,high,Östergötlands län,"0,17"
Västmanlands län,high,Stockholms län,"0,14"
Västmanlands län,high,Västra Götalands län,"0,11"
Västmanlands län,high,Örebro län,"0,04"
Västra Götalands län,high,Västra Götalands län,"0,67"
Västra Götalands län,high,Skåne län,"0,1"
Västra Götalands län,high,Östergötlands län,"0,05"
Västra Götalands län,high,Uppsala län,"0,05"
Västra Götalands län,high,Stockholms län,"0,05"
Västra Götalands län,high,Jönköpings län,"0,02"
Örebro län,high,Örebro län,"0,31"
Örebro län,high,Östergötlands län,"0,18"
Örebro län,high,Västra Götalands län,"0,17"
Örebro län,high,Uppsala län,"0,1"
Örebro län,high,Stockholms län,"0,1"
Örebro län,high,Skåne län,"0,05"
Östergötlands län,high,Östergötlands län,"0,46"
Östergötlands län,high,Skåne län,"0,12"
Östergötlands län,high,Uppsala län,"0,12"
Östergötlands län,high,Västra Götalands län,"0,11"
Östergötlands län,high,Stockholms län,"0,08"
Östergötlands län,high,Västerbottens län,"0,03"
Blekinge län,low,Blekinge län,"0,31"
Blekinge län,low,Skåne län,"0,31"
Blekinge län,low,Kronobergs län,"0,12"
Blekinge län,low,Kalmar län,"0,09"
Blekinge län,low,Stockholms län,"0,03"
Blekinge län,low,Västra Götalands län,"0,03"
Dalarnas län,low,Dalarnas län,"0,52"
Dalarnas län,low,Uppsala län,"0,08"
Dalarnas län,low,Stockholms län,"0,06"
Dalarnas län,low,Västra Götalands län,"0,05"
Dalarnas län,low,Gävleborgs län,"0,03"
Dalarnas län,low,Östergötlands län,"0,03"
Gotlands län,low,Gotlands län,"0,27"
Gotlands län,low,Stockholms län,"0,14"
Gotlands län,low,Uppsala län,"0,11"
Gotlands län,low,Kronobergs län,"0,09"
Gotlands län,low,Västra Götalands län,"0,09"
Gotlands län,low,Östergötlands län,"0,06"
Gävleborgs län,low,Gävleborgs län,"0,44"
Gävleborgs län,low,Stockholms län,"0,09"
Gävleborgs län,low,Uppsala län,"0,09"
Gävleborgs län,low,Dalarnas län,"0,06"
Gävleborgs län,low,Västernorrlands län,"0,05"
Gävleborgs län,low,Västerbottens län,"0,05"
Hallands län,low,Hallands län,"0,37"
Hallands län,low,Västra Götalands län,"0,22"
Hallands län,low,Skåne län,"0,12"
Hallands län,low,Kronobergs län,"0,06"
Hallands län,low,Stockholms län,"0,05"
Hallands län,low,Östergötlands län,"0,03"
Jämtlands län,low,Jämtlands län,"0,42"
Jämtlands län,low,Västerbottens län,"0,1"
Jämtlands län,low,Norrbottens län,"0,06"
Jämtlands län,low,Västernorrlands län,"0,06"
Jämtlands län,low,Stockholms län,"0,05"
Jämtlands län,low,Uppsala län,"0,05"
Jönköpings län,low,Jönköpings län,"0,35"
Jönköpings län,low,Kronobergs län,"0,11"
Jönköpings län,low,Västra Götalands län,"0,11"
Jönköpings län,low,Skåne län,"0,07"
Jönköpings län,low,Östergötlands län,"0,07"
Jönköpings län,low,Hallands län,"0,06"
Kalmar län,low,Kalmar län,"0,41"
Kalmar län,low,Kronobergs län,"0,12"
Kalmar län,low,Skåne län,"0,08"
Kalmar län,low,Östergötlands län,"0,08"
Kalmar län,low,Västra Götalands län,"0,06"
Kalmar län,low,Stockholms län,"0,05"
Kronobergs län,low,Kronobergs län,"0,53"
Kronobergs län,low,Skåne län,"0,13"
Kronobergs län,low,Hallands län,"0,05"
Kronobergs län,low,Kalmar län,"0,05"
