home,source_name,source_id,source_class,target_name,target_id,target_class,value,total
Blekinge län,Blekinge län,2_home,home,Blekinge län,3_home,home,281,2148
Blekinge län,Blekinge län,2_home,home,Övriga län,3_away,away,213,2148
Blekinge län,Övriga län,2_away,away,Blekinge län,3_home,home,586,2148
Blekinge län,Övriga län,2_away,away,Övriga län,3_away,away,1068,2148
Dalarnas län,Dalarnas län,2_home,home,Dalarnas län,3_home,home,661,3286
Dalarnas län,Dalarnas län,2_home,home,Övriga län,3_away,away,419,3286
Dalarnas län,Övriga län,2_away,away,Dalarnas län,3_home,home,577,3286
Dalarnas län,Övriga län,2_away,away,Övriga län,3_away,away,1629,3286
Gotlands län,Gotlands län,2_home,home,Gotlands län,3_home,home,58,565
Gotlands län,Gotlands län,2_home,home,Övriga län,3_away,away,59,565
Gotlands län,Övriga län,2_away,away,Gotlands län,3_home,home,105,565
Gotlands län,Övriga län,2_away,away,Övriga län,3_away,away,343,565
Gävleborgs län,Gävleborgs län,2_home,home,Gävleborgs län,3_home,home,528,2804
Gävleborgs län,Gävleborgs län,2_home,home,Övriga län,3_away,away,360,2804
Gävleborgs län,Övriga län,2_away,away,Gävleborgs län,3_home,home,582,2804
Gävleborgs län,Övriga län,2_away,away,Övriga län,3_away,away,1334,2804
Hallands län,Hallands län,2_home,home,Hallands län,3_home,home,500,3175
Hallands län,Hallands län,2_home,home,Övriga län,3_away,away,336,3175
Hallands län,Övriga län,2_away,away,Hallands län,3_home,home,739,3175
Hallands län,Övriga län,2_away,away,Övriga län,3_away,away,1600,3175
Jämtlands län,Jämtlands län,2_home,home,Jämtlands län,3_home,home,218,1223
Jämtlands län,Jämtlands län,2_home,home,Övriga län,3_away,away,154,1223
Jämtlands län,Övriga län,2_away,away,Jämtlands län,3_home,home,229,1223
Jämtlands län,Övriga län,2_away,away,Övriga län,3_away,away,622,1223
Jönköpings län,Jönköpings län,2_home,home,Jönköpings län,3_home,home,840,4399
Jönköpings län,Jönköpings län,2_home,home,Övriga län,3_away,away,396,4399
Jönköpings län,Övriga län,2_away,away,Jönköpings län,3_home,home,943,4399
Jönköpings län,Övriga län,2_away,away,Övriga län,3_away,away,2220,4399
Kalmar län,Kalmar län,2_home,home,Kalmar län,3_home,home,660,3292
Kalmar län,Kalmar län,2_home,home,Övriga län,3_away,away,449,3292
Kalmar län,Övriga län,2_away,away,Kalmar län,3_home,home,574,3292
Kalmar län,Övriga län,2_away,away,Övriga län,3_away,away,1609,3292
Kronobergs län,Kronobergs län,2_home,home,Kronobergs län,3_home,home,580,2461
Kronobergs län,Kronobergs län,2_home,home,Övriga län,3_away,away,484,2461
Kronobergs län,Övriga län,2_away,away,Kronobergs län,3_home,home,374,2461
Kronobergs län,Övriga län,2_away,away,Övriga län,3_away,away,1023,2461
Norrbottens län,Norrbottens län,2_home,home,Norrbottens län,3_home,home,832,3108
Norrbottens län,Norrbottens län,2_home,home,Övriga län,3_away,away,504,3108
Norrbottens län,Övriga län,2_away,away,Norrbottens län,3_home,home,594,3108
Norrbottens län,Övriga län,2_away,away,Övriga län,3_away,away,1178,3108
