home,source_name,source_id,source_class,target_name,target_id,target_class,value,total
Blekinge län,Blekinge län,study_home,home,Blekinge län,live_home,home,281,2148
Blekinge län,Blekinge län,study_home,home,Övriga län,live_away,away,213,2148
Blekinge län,Övriga län,study_away,away,Blekinge län,live_home,home,586,2148
Blekinge län,Övriga län,study_away,away,Övriga län,live_away,away,1068,2148
Dalarnas län,Dalarnas län,study_home,home,Dalarnas län,live_home,home,661,3286
Dalarnas län,Dalarnas län,study_home,home,Övriga län,live_away,away,419,3286
Dalarnas län,Övriga län,study_away,away,Dalarnas län,live_home,home,577,3286
Dalarnas län,Övriga län,study_away,away,Övriga län,live_away,away,1629,3286
Gotlands län,Gotlands län,study_home,home,Gotlands län,live_home,home,58,565
Gotlands län,Gotlands län,study_home,home,Övriga län,live_away,away,59,565
Gotlands län,Övriga län,study_away,away,Gotlands län,live_home,home,105,565
Gotlands län,Övriga län,study_away,away,Övriga län,live_away,away,343,565
Gävleborgs län,Gävleborgs län,study_home,home,Gävleborgs län,live_home,home,528,2804
Gävleborgs län,Gävleborgs län,study_home,home,Övriga län,live_away,away,360,2804
Gävleborgs län,Övriga län,study_away,away,Gävleborgs län,live_home,home,582,2804
Gävleborgs län,Övriga län,study_away,away,Övriga län,live_away,away,1334,2804
Hallands län,Hallands län,study_home,home,Hallands län,live_home,home,500,3175
Hallands län,Hallands län,study_home,home,Övriga län,live_away,away,336,3175
Hallands län,Övriga län,study_away,away,Hallands län,live_home,home,739,3175
Hallands län,Övriga län,study_away,away,Övriga län,live_away,away,1600,3175
Jämtlands län,Jämtlands län,study_home,home,Jämtlands län,live_home,home,218,1223
Jämtlands län,Jämtlands län,study_home,home,Övriga län,live_away,away,154,1223
Jämtlands län,Övriga län,study_away,away,Jämtlands län,live_home,home,229,1223
Jämtlands län,Övriga län,study_away,away,Övriga län,live_away,away,622,1223
Jönköpings län,Jönköpings län,study_home,home,Jönköpings län,live_home,home,840,4399
