home,source_name,source_id,source_class,target_name,target_id,target_class,value,total
Blekinge län,Blekinge län,origin_home,home,Blekinge län,live_home,home,281,1355
Blekinge län,Blekinge län,origin_home,home,Övriga län,live_away,away,213,1355
Blekinge län,Övriga län,origin_away,away,Blekinge län,live_home,home,74,1355
Blekinge län,Övriga län,origin_away,away,Övriga län,live_away,away,787,1355
Dalarnas län,Dalarnas län,origin_home,home,Dalarnas län,live_home,home,661,1919
Dalarnas län,Dalarnas län,origin_home,home,Övriga län,live_away,away,419,1919
Dalarnas län,Övriga län,origin_away,away,Dalarnas län,live_home,home,87,1919
Dalarnas län,Övriga län,origin_away,away,Övriga län,live_away,away,752,1919
Gotlands län,Gotlands län,origin_home,home,Gotlands län,live_home,home,58,508
Gotlands län,Gotlands län,origin_home,home,Övriga län,live_away,away,59,508
Gotlands län,Övriga län,origin_away,away,Gotlands län,live_home,home,21,508
Gotlands län,Övriga län,origin_away,away,Övriga län,live_away,away,370,508
Gävleborgs län,Gävleborgs län,origin_home,home,Gävleborgs län,live_home,home,528,1765
Gävleborgs län,Gävleborgs län,origin_home,home,Övriga län,live_away,away,360,1765
Gävleborgs län,Övriga län,origin_away,away,Gävleborgs län,live_home,home,107,1765
Gävleborgs län,Övriga län,origin_away,away,Övriga län,live_away,away,770,1765
Hallands län,Hallands län,origin_home,home,Hallands län,live_home,home,500,2380
Hallands län,Hallands län,origin_home,home,Övriga län,live_away,away,336,2380
Hallands län,Övriga län,origin_away,away,Hallands län,live_home,home,222,2380
Hallands län,Övriga län,origin_away,away,Övriga län,live_away,away,1322,2380
Jämtlands län,Jämtlands län,origin_home,home,Jämtlands län,live_home,home,218,959
Jämtlands län,Jämtlands län,origin_home,home,Övriga län,live_away,away,154,959
Jämtlands län,Övriga län,origin_away,away,Jämtlands län,live_home,home,60,959
Jämtlands län,Övriga län,origin_away,away,Övriga län,live_away,away,527,959
Jönköpings län,Jönköpings län,origin_home,home,Jönköpings län,live_home,home,840,2977
Jönköpings län,Jönköpings län,origin_home,home,Övriga län,live_away,away,396,2977
Jönköpings län,Övriga län,origin_away,away,Jönköpings län,live_home,home,238,2977
Jönköpings län,Övriga län,origin_away,away,Övriga län,live_away,away,1503,2977
Kalmar län,Kalmar län,origin_home,home,Kalmar län,live_home,home,660,2458
Kalmar län,Kalmar län,origin_home,home,Övriga län,live_away,away,449,2458
Kalmar län,Övriga län,origin_away,away,Kalmar län,live_home,home,146,2458
Kalmar län,Övriga län,origin_away,away,Övriga län,live_away,away,1203,2458
Kronobergs län,Kronobergs län,origin_home,home,Kronobergs län,live_home,home,580,3096
Kronobergs län,Kronobergs län,origin_home,home,Övriga län,live_away,away,484,3096
Kronobergs län,Övriga län,origin_away,away,Kronobergs län,live_home,home,269,3096
Kronobergs län,Övriga län,origin_away,away,Övriga län,live_away,away,1763,3096
Norrbottens län,Norrbottens län,origin_home,home,Norrbottens län,live_home,home,832,2915
Norrbottens län,Norrbottens län,origin_home,home,Övriga län,live_away,away,504,2915
Norrbottens län,Övriga län,origin_away,away,Norrbottens län,live_home,home,150,2915
Norrbottens län,Övriga län,origin_away,away,Övriga län,live_away,away,1429,2915
Skåne län,Skåne län,origin_home,home,Skåne län,live_home,home,7840,15768
Skåne län,Skåne län,origin_home,home,Övriga län,live_away,away,2099,15768
Skåne län,Övriga län,origin_away,away,Skåne län,live_home,home,1809,15768
Skåne län,Övriga län,origin_away,away,Övriga län,live_away,away,4020,15768
Stockholms län,Stockholms län,origin_home,home,Stockholms län,live_home,home,11539,18064
Stockholms län,Stockholms län,origin_home,home,Övriga län,live_away,away,1492,18064
Stockholms län,Övriga län,origin_away,away,Stockholms län,live_home,home,2696,18064
Stockholms län,Övriga län,origin_away,away,Övriga län,live_away,away,2337,18064
Södermanlands län,Södermanlands län,origin_home,home,Södermanlands län,live_home,home,297,1181
Södermanlands län,Södermanlands län,origin_home,home,Övriga län,live_away,away,146,1181
Södermanlands län,Övriga län,origin_away,away,Södermanlands län,live_home,home,71,1181
Södermanlands län,Övriga län,origin_away,away,Övriga län,live_away,away,667,1181
